"RK010"	"RK020"	"RK020_F"	"RK030"	"RK030_F"	"RK040"	"RK040_F"	"RK050"	"RK050_F"	"RK060"	"RK060_F"	"RK070"	"RK070_F"	"RK080"	"RK080_F"
227720102	12	" 1"	1	" 1"	"5"	" 1"	"1"	" 1"	"7"	" 1"	0	" 1"	"3"	" 1"
227720103	12	" 1"	1	" 1"	"5"	" 1"	"1"	" 1"	"7"	" 1"	0	" 1"	"3"	" 1"
229220101	17	" 1"	90	" 1"	"5"	" 1"	"1"	" 1"	"7"	" 1"	0	" 1"	"1"	" 1"
230870101	14	" 1"	15	" 1"	"2"	" 1"	"1"	" 1"	"4"	" 1"	4	" 1"	"3"	" 1"
230940101	17	" 1"	15	" 1"	"2"	" 1"	"1"	" 1"	"4"	" 1"	0	" 1"	"1"	" 1"
231140101	17	" 1"	10	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	7	" 1"	"3"	" 1"
231390101	16	" 1"	90	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	2	" 1"	"3"	" 1"
231450101	5	" 1"	10	" 1"	"1"	" 1"	"1"	" 1"	"2"	" 1"	7	" 1"	"1"	" 1"
231770101	16	" 1"	2	" 1"	"2"	" 1"	"3"	" 1"	"3"	" 1"	0	" 1"	"1"	" 1"
232500301	12	" 1"	NA	"-1"	"6"	" 1"	"1"	" 1"	"7"	" 1"	0	" 1"	"1"	" 1"
234650301	14	" 1"	5	" 1"	"2"	" 1"	"1"	" 1"	"3"	" 1"	30	" 1"	"1"	" 1"
236260101	7	" 1"	10	" 1"	"4"	" 1"	"1"	" 1"	"3"	" 1"	14	" 1"	"3"	" 1"
237030101	16	" 1"	NA	"-1"	"6"	" 1"	"1"	" 1"	"7"	" 1"	0	" 1"	"1"	" 1"
239210101	15	" 1"	728	" 1"	"2"	" 1"	"1"	" 1"	"7"	" 1"	0	" 1"	"1"	" 1"
240400201	13	" 1"	30	" 1"	"2"	" 1"	"1"	" 1"	"3"	" 1"	4	" 1"	"1"	" 1"
240400202	15	" 1"	30	" 1"	"2"	" 1"	"1"	" 1"	"3"	" 1"	4	" 1"	"1"	" 1"
241020101	10	" 1"	NA	"-1"	"1"	" 1"	"1"	" 1"	"6"	" 1"	NA	"-1"	"4"	" 1"
243510201	11	" 1"	6	" 1"	"2"	" 1"	"1"	" 1"	"3"	" 1"	4	" 1"	"2"	" 1"
244360201	14	" 1"	10	" 1"	"2"	" 1"	"2"	" 1"	"1"	" 1"	4	" 1"	"1"	" 1"
244360202	12	" 1"	10	" 1"	"2"	" 1"	"2"	" 1"	"1"	" 1"	4	" 1"	"1"	" 1"
198580301	1	" 1"	10	" 1"	"1"	" 1"	"3"	" 1"	"1"	" 1"	0	" 1"	"3"	" 1"
244870101	12	" 1"	5	" 1"	"1"	" 1"	"1"	" 1"	"3"	" 1"	12	" 1"	"1"	" 1"
245410101	10	" 1"	60	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	6	" 1"	"1"	" 1"
245410102	6	" 1"	60	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	6	" 1"	"1"	" 1"
247480101	16	" 1"	NA	"-1"	"6"	" 1"	"3"	" 1"	"7"	" 1"	0	" 1"	"1"	" 1"
251190301	6	" 1"	NA	"-1"	"6"	" 1"	"3"	" 1"	"7"	" 1"	0	" 1"	"1"	" 1"
251270101	16	" 1"	180	" 1"	"1"	" 1"	"3"	" 1"	"3"	" 1"	0	" 1"	" "	"-1"
251270102	11	" 1"	180	" 1"	"1"	" 1"	"3"	" 1"	"3"	" 1"	0	" 1"	" "	"-1"
252050101	9	" 1"	7	" 1"	"2"	" 1"	"2"	" 1"	"6"	" 1"	0	" 1"	"3"	" 1"
252050102	7	" 1"	600	" 1"	"2"	" 1"	"2"	" 1"	"6"	" 1"	0	" 1"	"3"	" 1"
252130101	14	" 1"	60	" 1"	"1"	" 1"	"1"	" 1"	"5"	" 1"	3	" 1"	"3"	" 1"
252130102	13	" 1"	60	" 1"	"1"	" 1"	"1"	" 1"	"5"	" 1"	NA	"-1"	"3"	" 1"
252130103	11	" 1"	60	" 1"	"1"	" 1"	"1"	" 1"	"5"	" 1"	3	" 1"	"3"	" 1"
252130104	10	" 1"	60	" 1"	"1"	" 1"	"1"	" 1"	"5"	" 1"	3	" 1"	"3"	" 1"
252130105	8	" 1"	60	" 1"	"1"	" 1"	"1"	" 1"	"5"	" 1"	3	" 1"	"3"	" 1"
252200201	11	" 1"	990	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	0	" 1"	"1"	" 1"
163790101	9	" 1"	5	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	15	" 1"	"3"	" 1"
163790102	4	" 1"	5	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	15	" 1"	"3"	" 1"
169230101	6	" 1"	25	" 1"	"2"	" 1"	"1"	" 1"	"3"	" 1"	2	" 1"	"1"	" 1"
169230102	4	" 1"	25	" 1"	"2"	" 1"	"1"	" 1"	"3"	" 1"	2	" 1"	"1"	" 1"
235680101	16	" 1"	5	" 1"	"2"	" 1"	"2"	" 1"	"4"	" 1"	0	" 1"	"1"	" 1"
164650201	8	" 1"	5	" 1"	"5"	" 1"	"3"	" 1"	"7"	" 1"	0	" 1"	"1"	" 1"
165170101	8	" 1"	70	" 1"	"2"	" 1"	"2"	" 1"	"6"	" 1"	0	" 1"	"1"	" 1"
165170201	12	" 1"	NA	"-1"	"1"	" 1"	"3"	" 1"	"7"	" 1"	0	" 1"	"2"	" 1"
165200201	15	" 1"	NA	"-1"	"2"	" 1"	"1"	" 1"	"1"	" 1"	30	" 1"	"2"	" 1"
165250201	13	" 1"	480	" 1"	"3"	" 1"	"2"	" 1"	"2"	" 1"	0	" 1"	"1"	" 1"
165250202	10	" 1"	300	" 1"	"6"	" 1"	"2"	" 1"	"7"	" 1"	0	" 1"	"1"	" 1"
178580101	5	" 1"	300	" 1"	"2"	" 1"	"1"	" 1"	"1"	" 1"	12	" 1"	"3"	" 1"
185210201	11	" 1"	990	" 1"	"4"	" 1"	"1"	" 1"	"6"	" 1"	0	" 1"	"3"	" 1"
235890101	4	" 1"	15	" 1"	"3"	" 1"	"1"	" 1"	"1"	" 1"	15	" 1"	"1"	" 1"
236000401	15	" 1"	20	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	8	" 1"	"3"	" 1"
178780201	6	" 1"	540	" 1"	"1"	" 1"	"3"	" 1"	"5"	" 1"	0	" 1"	"1"	" 1"
250230101	12	" 1"	990	" 1"	"3"	" 1"	"3"	" 1"	"1"	" 1"	NA	"-1"	"1"	" 1"
250950101	15	" 1"	10	" 1"	"6"	" 1"	"1"	" 1"	"7"	" 1"	0	" 1"	"1"	" 1"
219440101	14	" 1"	30	" 1"	"2"	" 1"	"1"	" 1"	"3"	" 1"	6	" 1"	"1"	" 1"
219450101	9	" 1"	5	" 1"	"5"	" 1"	"1"	" 1"	"6"	" 1"	2	" 1"	"1"	" 1"
219490101	15	" 1"	20	" 1"	"3"	" 1"	"1"	" 1"	"6"	" 1"	1	" 1"	"1"	" 1"
221360101	3	" 1"	15	" 1"	"2"	" 1"	"1"	" 1"	"3"	" 1"	12	" 1"	"3"	" 1"
146140101	13	" 1"	5	" 1"	"6"	" 1"	"1"	" 1"	"7"	" 1"	15	" 1"	"1"	" 1"
146140102	5	" 1"	40	" 1"	"2"	" 1"	"1"	" 1"	"4"	" 1"	0	" 1"	"1"	" 1"
146870101	13	" 1"	10	" 1"	"6"	" 1"	"1"	" 1"	"1"	" 1"	15	" 1"	"3"	" 1"
